TOTAL_ITENS=40
TD01 | Tiras de Alcatra ao Molho Madeira com Ar | 65/6/7 | G:N L:N
TD02 | Almôndegas ao Molho Sugo com Arroz e Bat | 123/8/9 | G:N L:S
TD03 | Nhoque de Batata ao Molho Bolonhesa | 174/18/8 | G:N L:N
TD04 | Vaca Atolada (Carne de Panela com Aipim) | 87/12/8 | G:N L:S
TD05 | Arroz Carreteiro com Carne de Patinho De | 114/9/11 | G:S L:S
TD06 | Frango Grelhado ao Molho Sugo com Arroz  | 62/5/9 | G:S L:S
TD07 | Sobrecoxa Ensopada com Purê de Aipim | 127/12/10 | G:S L:S
TD08 | Parmegiana de Frango com Arroz e Batata  | 87/11/8 | G:N L:N
TD09 | Parmegiana de Carne com Arroz e Batata R | 91/11/8 | G:N L:N
TD10 | Estrogonofe de Frango com Arroz  e Bróco | 74/7/7 | G:N L:N
TD11 | Estrogonofe de Carne com Arroz e Brócoli | 94/8/7 | G:N L:N
TD12 | Escondidinho de Frango com Batata Ingles | 126/10/11 | G:S L:N
TD13 | Escondidinho de Patinho com Batata Ingle | 167/10/10 | G:S L:N
TD14 | Filé de Tilápia Assada com Tomate e Purê | 118/9/11 | G:S L:N
TD15 | Feijoada com Arroz e Couve Mineira | 97/10/5 | G:S L:S
TD16 | Bife ao Molho com Arroz e Feijão | 66/7/9 | G:S L:S
TD17 | Frango Empanado Americano com Arroz e Fe | 85/9/8 | G:N L:N
TD18 | Patinho Moído à Bolonhesa com Arroz e Fe | 93/7/7 | G:S L:S
TD19 | Lasanha de Frango | 105/11/8 | G:N L:N
TD20 | Lasanha de Carne Moída de Patinho à Bolo | 137/11/8 | G:N L:N
TD21 | Panqueca de Frango com Queijo | 114/11/11 | G:N L:N
TD22 | Panqueca de Carne com Queijo a Bolonhesa | 172/7/15 | G:N L:N
TD23 | Macarrão Penne na Manteiga com Frango Gr | 139/15/13 | G:N L:N
TD24 | Espaguete à Carbonara com Ovos Mexidos e | 193/15/10 | G:N L:N
TD25 | Espaguete com Almôndegas com Queijo à Bo | 147/13/11 | G:N L:N
TD26 | Macarrão Talharim com Carne Moída de Pat | 123/8/7 | G:N L:S
TD27 | Macarrão Penne ao Molho 4 Queijos com Ba | 224/15/10 | G:N L:N
TD28 | Macarrão Penne alla Creme com Tiras de A | 139/18/8 | G:N L:N
SO01 | Sopa de Frango com Legumes | 45/7/4 | G:S L:S
SO02 | Sopa de Carne com Legumes | 48/7/4 | G:S L:S
SO03 | Sopa de Legumes | 27/7/1 | G:S L:S
SO04 | Sopa de Feijão com Macarrão (Minestra) | // | G: L:S
SO05 | Sopa de Bucho | 84/4/11 | G: L:S
SO06 | Canja de Galinha com Arroz, Frango e Leg | 58/8/5 | G:S L:S
SO07 | Creme de Abóbora Cabotiá com Carne Desfi | 42/2/6 | G:S L:S
SO08 | Creme de Mandioquinha com Frango e Bacon | 112/8/8 | G:S L:S
SO09 | Creme de Batata Inglesa com Carne Desfia | 64/8/7 | G:S L:S
SO10 | Caldo de Aipim com Carne Moída | // | G:S L:S
SO11 | Caldo Verde Português de Batata com Cala | 74/9/3 | G: L:
SO12 | Caldo de Peixe (Tilápia) | // | G: L:
